TotalPop,Female,Male,Asian,NonHispA,White,NonHispW,Am_Indian,Hawaii_PI,TotalHisp,NonHispB,Black,OtherRace,Bachelor,Associate,Master,HighSch,College,9_12Grade,Less9Grade,25_Older,Pop5Plus,CashAssis,BelowPover,MedianInco,Unemployed,BornForeig,ArmedForce,WithChild,Married,Profession,insurance,Disabili,NAME,state,county,tract
2150,1026,1124,53,53,1126,696,31,0,1246,34,40,426,238,198,67,544,361,101,60,1641,2084,112,100,70609,46,452,118,184,750,197,1781,257,Census Tract 104.01; San Diego County; California,6,73,10401
5442,2627,2815,596,585,1910,1060,0,0,3291,328,328,1100,412,304,64,955,864,440,204,3596,4978,195,849,59227,231,1423,138,626,2073,679,4705,622,Census Tract 104.02; San Diego County; California,6,73,10402
1288,577,711,49,49,792,739,13,0,370,0,0,189,264,67,77,90,302,23,9,964,1230,35,70,118634,29,165,58,121,544,273,1138,149,Census Tract 105.01; San Diego County; California,6,73,10501
5742,2559,3183,311,191,2180,1081,0,0,3712,313,313,892,225,243,196,1201,1072,368,244,3854,5151,554,1004,65351,211,1067,256,856,1467,384,4628,685,Census Tract 105.02; San Diego County; California,6,73,10502
1981,979,1002,131,117,1425,1326,15,0,440,61,61,56,570,56,323,87,171,6,21,1575,1934,17,96,202692,22,370,84,203,1339,653,1830,186,Census Tract 106.01; San Diego County; California,6,73,10601
2474,1344,1130,135,135,2069,1821,0,31,406,9,9,0,772,153,288,152,175,8,0,1788,2420,45,121,132000,29,363,37,310,1339,748,2419,141,Census Tract 108; San Diego County; California,6,73,10800
1581,739,842,0,0,1379,1290,35,0,175,1,1,8,357,17,215,39,202,33,0,1097,1487,13,16,179063,46,87,72,156,802,375,1432,134,Census Tract 109; San Diego County; California,6,73,10900
2787,1334,1453,52,52,2218,2117,6,127,502,31,31,39,771,75,466,197,378,99,9,2178,2705,48,81,97237,41,290,163,302,1244,822,2334,261,Census Tract 110; San Diego County; California,6,73,11000
3531,1716,1815,75,75,2833,2580,24,0,563,0,0,104,838,285,615,158,274,26,0,2460,3328,45,139,127050,83,212,243,418,1845,678,3150,627,Census Tract 111; San Diego County; California,6,73,11100
2386,547,1839,170,159,1451,1160,34,56,715,229,230,184,113,102,106,137,354,0,0,953,2377,18,18,155114,18,139,2174,33,460,71,129,37,Census Tract 113; San Diego County; California,6,73,11300
5796,2954,2842,292,268,2006,224,0,19,4829,202,256,2162,355,237,39,712,1040,469,423,3690,5337,337,1146,69542,157,2065,45,734,1771,412,4903,673,Census Tract 116.01; San Diego County; California,6,73,11601
3671,1900,1771,326,326,1983,522,54,0,2615,176,181,699,337,133,14,610,377,303,361,2366,3260,242,443,57303,21,1239,70,626,1423,261,3073,278,Census Tract 116.02; San Diego County; California,6,73,11602
7376,3991,3385,1815,1815,2400,644,381,0,4386,289,289,1202,629,608,40,1213,1117,443,599,5460,6949,805,1005,56045,62,3075,170,904,2619,555,6468,1205,Census Tract 117; San Diego County; California,6,73,11700
3278,1831,1447,282,282,1036,174,91,0,2647,103,103,863,249,274,105,566,356,155,441,2327,3151,145,736,61146,219,1386,0,397,1328,336,2406,314,Census Tract 118.01; San Diego County; California,6,73,11801
7161,3648,3513,994,994,1877,339,0,64,5470,217,217,2581,553,278,73,1143,696,921,191,4254,6930,359,1167,57273,384,2759,34,1087,2460,588,5838,649,Census Tract 118.02; San Diego County; California,6,73,11802
